x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,target
12.76591,7.61118,15.14197,65.72386,4.02591,0.04954,74.96580,25.03420,66.57556,33.42444,61.60023,77.01524,3.86766,11.89048,68.11351,88.44160,5.15473,29.61574,59.50766,13.64053,35.12800,3.36195,3.90707,4.01699,4.09417,2.44973,60.99636,0.85735,30.47781,70.04249,0.86232,114.28472,8.76842,5.60959,91.09317,66.60144,1.50397,132.19335,2.24018,52.55830,2.81304,4.01618,0.34083,0
10.41652,6.75474,12.11842,7.93526,-2.61448,2.25288,66.46229,33.53771,65.63571,34.36429,64.67141,61.57189,6.45295,21.42041,61.68528,100.18417,3.66178,31.60327,51.21305,15.74332,36.76675,1.43959,11.95645,1.69412,81.10731,3.17917,72.95967,0.88741,51.60077,39.46709,0.46906,147.69115,7.28104,3.81101,89.13617,68.90567,0.69068,81.39868,1.01125,39.66244,1.71975,4.35744,2.16862,1
12.18084,7.26974,15.21632,43.13500,-25.10574,5.45186,56.79424,43.20576,51.54003,48.45997,47.14062,55.39746,13.14676,17.61603,62.56912,112.94583,4.91110,23.36548,46.01752,9.10453,29.18820,3.42858,5.63192,4.18135,7.28488,3.01974,63.95045,1.08858,47.06072,48.98645,0.87213,143.56967,6.84903,3.21561,86.28579,58.16163,0.88632,114.47801,1.97136,37.65711,2.31314,4.72200,1.53673,1
10.34699,5.51851,12.01356,15.12077,-7.25631,1.54333,63.95195,36.04805,62.38740,37.61260,65.26834,65.06493,10.79299,14.99772,67.51474,103.76518,4.82848,19.87787,37.59408,6.24304,23.07955,3.85322,7.16339,4.12329,12.41667,2.56663,63.01616,1.05649,56.85165,45.62594,0.69349,136.20673,7.27479,4.25831,87.31899,69.61849,0.84513,92.75900,3.86360,43.58354,1.85833,4.07296,1.52115,1
11.61877,5.18305,14.42620,67.98070,-51.42256,-7.29622,61.20001,38.79999,53.30149,46.69851,47.61304,55.78260,10.30348,16.69980,64.53479,115.68982,6.43572,27.42759,53.07493,12.65531,34.05488,1.79189,6.82025,1.65314,7.46114,2.74561,62.20703,1.15470,50.31633,51.99483,0.74648,135.31501,6.96378,3.70481,85.77689,61.75000,0.95739,104.92881,2.06022,40.89941,2.29488,4.41367,1.37231,1
9.16524,4.09590,11.04767,21.90682,2.21490,10.74662,63.93186,36.06814,61.92404,38.07596,69.56764,60.08432,10.14282,13.84945,67.65925,112.60717,5.06934,24.25755,44.37405,8.38705,29.23974,8.20810,9.76990,9.20716,35.50300,2.43578,58.49901,1.16485,59.02900,47.39305,0.84017,134.09424,7.45027,4.45132,86.47903,69.28485,0.76921,91.31986,1.73913,38.23737,1.97335,4.16379,1.35028,1
10.47514,3.91737,13.39080,66.78626,-35.22515,3.29880,60.22786,39.77214,53.23191,46.76809,52.94394,57.58916,10.71643,14.45867,67.51353,117.23306,6.55777,24.11205,46.51504,10.78204,30.82341,-2.15618,-12.72342,-4.12504,-10.38664,2.35015,55.37118,1.13947,52.20004,51.43038,1.14421,134.25806,6.93947,3.83458,85.89581,63.72414,0.82426,99.46980,1.09490,37.34445,2.18289,4.24436,0.91725,1
85.10007,69.82169,740.39892,0.03635,-0.03635,-0.03635,99.86718,0.13282,99.83624,0.16376,98.57527,11.49381,0.00000,0.00000,0.00000,0.00000,15.27838,95.03275,812.03358,94.89993,826.81653,1.99102,18.80893,2.39521,128.94941,10.98435,92.28065,0.89884,10.86670,69.48945,0.02001,142.17198,11.34461,0.34025,92.65864,3.95098,3.61354,68.48276,6.41379,39.59525,8.27147,11.90320,3.61172,1
7.44030,2.63977,9.22130,17.34140,58.57752,0.22065,41.07028,58.92972,39.78003,60.21997,52.12222,54.10736,18.22115,14.51977,64.20190,118.65649,4.80053,31.89425,78.03336,5.75075,39.52882,1.36694,15.01429,1.59759,108.12168,0.85386,22.95986,1.62029,71.52383,60.91486,1.44178,122.16660,6.39064,4.29200,79.77405,65.45298,0.89909,159.51832,0.00000,39.68830,2.26538,3.71893,0.01176,1
12.20689,7.05685,14.64007,47.60437,-1.67951,-7.37871,70.99563,29.00437,65.18462,34.81538,63.26348,73.87370,5.36764,7.22677,70.61790,95.59275,5.15004,24.34707,40.91551,5.84323,29.20013,1.79062,15.79496,2.10229,113.21780,3.07541,58.98350,1.41558,58.82987,46.14923,0.98972,136.72265,9.03815,5.23971,86.45859,68.52930,1.53661,107.27130,1.00897,63.25899,2.40623,5.21402,1.81807,0
